#,Game,Users
1,"
BioShock Infinite ","
5.7K "
2,"
Portal ","
5.4K "
3,"
Portal 2 ","
5.1K "
4,"
BioShock ","
3.9K "
5,"
Tomb Raider (2013) ","
3.9K "
6,"
Bastion ","
3.6K "
7,"
The Walking Dead ","
3.4K "
8,"
Mass Effect ","
3.4K "
9,"
Half-Life 2 ","
3.2K "
10,"
Mass Effect 2 ","
3.2K "
11,"
The Elder Scrolls V: Skyrim ","
3.1K "
12,"
Assassin's Creed II ","
3K "
13,"
Brothers: A Tale of Two Sons ","
2.8K "
14,"
Dishonored ","
2.7K "
15,"
Limbo ","
2.6K "
16,"
Saints Row: The Third ","
2.6K "
17,"
Far Cry 3 ","
2.5K "
18,"
Assassin's Creed ","
2.4K "
19,"
Spec Ops: The Line ","
2.4K "
20,"
Borderlands 2 ","
2.4K "
21,"
The Last of Us ","
2.3K "
22,"
Mirror's Edge ","
2.3K "
23,"
Borderlands ","
2.3K "
24,"
Deus Ex: Human Revolution ","
2.3K "
25,"
Batman: Arkham Asylum ","
2.3K "
26,"
Hotline Miami ","
2.3K "
27,"
Half-Life 2: Episode One ","
2.3K "
28,"
Grand Theft Auto V ","
2.3K "
29,"
Alan Wake ","
2.2K "
30,"
The Stanley Parable (2013) ","
2.1K "
31,"
Middle-Earth: Shadow of Mordor ","
2K "
32,"
Batman: Arkham City ","
2K "
33,"
Batman: Arkham Asylum GOTY ","
2K "
34,"
Gone Home ","
2K "
35,"
Assassin's Creed: Brotherhood ","
2K "
36,"
Sleeping Dogs ","
2K "
37,"
BioShock 2 ","
2K "
38,"
Half-Life 2: Episode Two ","
1.9K "
39,"
The Witcher 2: Assassins of Kings ","
1.9K "
40,"
To the Moon ","
1.8K "
41,"
Assassin's Creed III ","
1.8K "
42,"
Uncharted: Drake's Fortune ","
1.8K "
43,"
Mass Effect 3 ","
1.8K "
44,"
Dead Space ","
1.8K "
45,"
Thomas Was Alone ","
1.8K "
46,"
South Park: The Stick of Truth ","
1.8K "
47,"
Uncharted 2: Among Thieves ","
1.7K "
48,"
Grand Theft Auto IV ","
1.7K "
49,"
Half-Life ","
1.7K "
50,"
Max Payne 3 ","
1.7K "
51,"
Fallout: New Vegas ","
1.7K "
52,"
Braid ","
1.6K "
53,"
The Witcher ","
1.6K "
54,"
Batman: Arkham Origins ","
1.6K "
55,"
Assassin's Creed: Revelations ","
1.6K "
56,"
Assassin's Creed IV: Black Flag ","
1.6K "
57,"
The Wolf Among Us ","
1.6K "
58,"
Call of Duty: Modern Warfare 2 ","
1.5K "
59,"
Batman: Arkham City GOTY ","
1.5K "
60,"
Uncharted 3: Drake's Deception ","
1.5K "
61,"
Tomb Raider (1996) ","
1.5K "
62,"
Darksiders ","
1.5K "
63,"
Wolfenstein: The New Order ","
1.5K "
64,"
The Walking Dead: Season 2 ","
1.5K "
65,"
Metal Gear Solid V: Ground Zeroes ","
1.4K "
66,"
Dear Esther ","
1.4K "
67,"
Saints Row IV ","
1.4K "
68,"
Dragon Age: Origins ","
1.4K "
69,"
Metro 2033 ","
1.4K "
70,"
Call of Duty 4: Modern Warfare ","
1.4K "
71,"
Final Fantasy VII ","
1.4K "
72,"
Final Fantasy XIII ","
1.4K "
73,"
Trine ","
1.3K "
74,"
Mark of the Ninja ","
1.3K "
75,"
Half-Life 2: Lost Coast ","
1.3K "
76,"
The Witcher 3: Wild Hunt ","
1.3K "
77,"
XCOM: Enemy Unknown ","
1.3K "
78,"
Mafia II ","
1.3K "
79,"
Dead Space 2 ","
1.2K "
80,"
L.A. Noire ","
1.2K "
81,"
Transistor ","
1.2K "
82,"
Call of Duty: Black Ops ","
1.2K "
83,"
The Legend of Zelda: A Link Between Worlds ","
1.2K "
84,"
Red Dead Redemption ","
1.2K "
85,"
Fallout 3 ","
1.2K "
86,"
Far Cry 3: Blood Dragon ","
1.2K "
87,"
DmC: Devil May Cry ","
1.2K "
88,"
Crysis ","
1.2K "
89,"
Pokémon X and Y ","
1.2K "
90,"
Left 4 Dead 2 ","
1.1K "
91,"
Hitman: Absolution ","
1.1K "
92,"
Fez ","
1.1K "
93,"
Metal Gear Rising: Revengeance ","
1.1K "
94,"
Call of Duty: Modern Warfare 3 ","
1.1K "
95,"
Dragon Age: Inquisition ","
1.1K "
96,"
Crysis 2 ","
1.1K "
97,"
VVVVVV ","
1.1K "
98,"
Grand Theft Auto: San Andreas ","
1.1K "
99,"
Dark Souls: Prepare to Die Edition ","
1.1K "
100,"
Metal Gear Solid ","
1.1K "
